compound: 0.5023, neg: 0.008, neu: 0.959, pos: 0.033, 
compound: 0.9287, neg: 0.0, neu: 0.91, pos: 0.09, 
compound: 0.986, neg: 0.038, neu: 0.836, pos: 0.126, 
compound: 0.8846, neg: 0.02, neu: 0.893, pos: 0.087, 
compound: 0.0056, neg: 0.081, neu: 0.848, pos: 0.071, 
compound: 0.6705, neg: 0.0, neu: 0.963, pos: 0.037, 
compound: 0.9572, neg: 0.01, neu: 0.881, pos: 0.109, 
compound: 0.5858, neg: 0.072, neu: 0.821, pos: 0.107, 
compound: -0.61, neg: 0.042, neu: 0.941, pos: 0.017, 
compound: 0.7425, neg: 0.022, neu: 0.92, pos: 0.058, 
compound: -0.9169, neg: 0.101, neu: 0.859, pos: 0.041, 
compound: 0.631, neg: 0.132, neu: 0.717, pos: 0.151, 
compound: 0.4007, neg: 0.081, neu: 0.833, pos: 0.086, 
compound: 0.8047, neg: 0.012, neu: 0.932, pos: 0.056, 
compound: -0.6939, neg: 0.11, neu: 0.814, pos: 0.076, 
compound: -0.09, neg: 0.052, neu: 0.898, pos: 0.05, 
compound: 0.9233, neg: 0.029, neu: 0.886, pos: 0.085, 
compound: -0.988, neg: 0.163, neu: 0.803, pos: 0.034, 
compound: 0.1531, neg: 0.072, neu: 0.858, pos: 0.071, 
compound: -0.1727, neg: 0.09, neu: 0.823, pos: 0.088, 
compound: 0.9538, neg: 0.062, neu: 0.828, pos: 0.11, 
compound: 0.9719, neg: 0.0, neu: 0.868, pos: 0.132, 
compound: 0.9576, neg: 0.06, neu: 0.836, pos: 0.104, 
compound: -0.9761, neg: 0.118, neu: 0.833, pos: 0.049, 
compound: -0.9127, neg: 0.081, neu: 0.884, pos: 0.034, 
compound: 0.8399, neg: 0.021, neu: 0.919, pos: 0.06, 
compound: -0.9808, neg: 0.187, neu: 0.737, pos: 0.076, 
compound: -0.6693, neg: 0.101, neu: 0.808, pos: 0.09, 
compound: -0.3182, neg: 0.064, neu: 0.868, pos: 0.068, 
compound: -0.5719, neg: 0.049, neu: 0.912, pos: 0.039, 
compound: -0.7769, neg: 0.121, neu: 0.804, pos: 0.075, 
compound: -0.1655, neg: 0.096, neu: 0.836, pos: 0.068, 
compound: 0.9081, neg: 0.03, neu: 0.852, pos: 0.118, 
compound: 0.7876, neg: 0.035, neu: 0.903, pos: 0.062, 
compound: -0.717, neg: 0.103, neu: 0.807, pos: 0.09, 
compound: -0.5086, neg: 0.069, neu: 0.86, pos: 0.071, 
compound: -0.0772, neg: 0.091, neu: 0.816, pos: 0.093, 
compound: -0.8442, neg: 0.093, neu: 0.83, pos: 0.077, 
